name,value
2026 1st,3007
2026 2nd,1506
2026 3rd,996
2026 4th,744
2026 Pick 1.01,7066
2026 Pick 1.02,4855
2026 Pick 1.03,4183
2026 Pick 1.04,3827
2026 Pick 1.05,3481
2026 Pick 1.06,3059
2026 Pick 1.07,2954
2026 Pick 1.08,2726
2026 Pick 1.09,2531
2026 Pick 1.10,2361
2026 Pick 1.11,2213
2026 Pick 1.12,2083
2026 Pick 2.01,1967
2026 Pick 2.02,1863
2026 Pick 2.03,1769
2026 Pick 2.04,1685
2026 Pick 2.05,1608
2026 Pick 2.06,1538
2026 Pick 2.07,1474
2026 Pick 2.08,1415
2026 Pick 2.09,1360
2026 Pick 2.10,1310
2026 Pick 2.11,1263
2026 Pick 2.12,1219
2026 Pick 3.01,1179
2026 Pick 3.02,1140
2026 Pick 3.03,1105
2026 Pick 3.04,1071
2026 Pick 3.05,1040
2026 Pick 3.06,1010
2026 Pick 3.07,982
2026 Pick 3.08,955
2026 Pick 3.09,930
2026 Pick 3.10,906
2026 Pick 3.11,884
2026 Pick 3.12,862
2026 Pick 4.01,841
2026 Pick 4.02,822
2026 Pick 4.03,803
2026 Pick 4.04,785
2026 Pick 4.05,768
2026 Pick 4.06,752
2026 Pick 4.07,736
2026 Pick 4.08,721
2026 Pick 4.09,707
2026 Pick 4.10,693
2026 Pick 4.11,679
2026 Pick 4.12,667
2027 1st,3052
2027 2nd,1540
2027 3rd,1050
2027 4th,774
2028 1st,2198
2028 2nd,1333
2028 3rd,953
2028 4th,764
A.J. Brown,3393
Aaron Anderson,606
Aaron Jones,1161
Aaron Rodgers,770
Adam Randall,1214
Adonai Mitchell,1179
AJ Barner,1526
Alec Pierce,2329
Alvin Kamara,1034
Amon-Ra St. Brown,7482
Andrei Iosivas,122
Anthony Richardson,1325
Antonio Williams,1384
Ashton Jeanty,6678
Audric Estime,169
Baker Mayfield,3494
Bauer Sharp,91
Ben Sinnott,439
Bhayshul Tuten,2281
Bijan Robinson,9861
Blake Corum,1671
Bo Nix,5019
Braelon Allen,1105
Brandon Aiyuk,1540
Brashard Smith,668
Breece Hall,3943
Brenen Thompson,1172
Brenton Strange,1719
